timestamp,lat,lon,incident_coords,incident_count,incident_magnitudes,incident_delays,incident_roads,incident_id,icon_category,start_time,end_time,from_location,to_location,length,time_validity,probability,num_reports,last_report,tmc_countryCode,tmc_tableNumber,tmc_tableVersion,tmc_direction,event_descriptions,avg_speed,free_flow_speed,jam_factor,temp,wind,rain
2025-09-15T11:30:34,48.8780893433,2.2810859564,"[[2.2810859564, 48.8780893433]]",1,[2],[179],[['D913']],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38508850128018000,6,2025-09-15 13:24:03+02:00,2025-09-15 13:50:31+02:00,Boulevard Périphérique / Avenue de Neuilly,Boulevard Pereire Sud,223.0087838916,present,certain,,,,,,,['Queuing traffic'],7,16,2.292682926829268,19.52,9.26,0.0
2025-09-15T11:30:44,48.8763446159,2.2872308973,"[[2.2872308973, 48.8763446159]]",1,[1],[147],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38508850204010000,6,2025-09-15 13:23:38+02:00,2025-09-15 13:48:31+02:00,Place Charles de Gaulle (Avenue de la Grande Armée),Place de la Porte Maillot (Avenue de la Grande Armée),259.1531278886,present,certain,,,F,32,12.1,positive,['Slow traffic'],12,16,1.3333333333333333,19.52,9.26,0.0
2025-09-15T11:30:54,48.8890381166,2.2904629592,"[[2.2904629592, 48.8890381166]]",1,[4],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38503079292014000,8,2025-09-15 06:04:00+02:00,,Rue Jacques Ibert (D17),Rue du Président Wilson,193.7700344315,present,probable,,,,,,,['Closed'],23,29,1.2658227848101267,19.52,9.26,0.0
2025-09-15T11:31:04,48.8993270837,2.2933972958,"[[2.2933972958, 48.8993270837]]",1,[0],[None],[['D909']],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38497308612014000,9,2025-09-15 08:40:11+02:00,,Paris - Boulevard Périphérique (D909),Clichy-la-Garenne - D1 (D909),121.6226797342,present,probable,,,F,32,12.1,positive,['Roadworks'],14,14,1.0,19.52,9.26,0.0
2025-09-15T11:31:15,48.885394377,2.2972650412,"[[2.2972650412, 48.885394377]]",1,[2],[374],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38505964864019000,6,2025-09-15 13:13:30+02:00,2025-09-15 14:05:31+02:00,Avenue de Wagram (Avenue de Villiers),Place de la Porte de Champerret - Boulevard Gouvion-Saint-Cyr - Avenue Stéphane Mallarmé (Avenue de Villiers),441.4534589383,present,certain,,,F,32,12.1,positive,['Queuing traffic'],20,20,1.0,19.52,9.26,0.0
2025-09-15T11:31:25,48.8851556662,2.3072723631,"[[2.3072723631, 48.8851556662]]",1,[1],[118],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38508850352027000,6,2025-09-15 13:25:11+02:00,2025-09-15 13:48:31+02:00,Place du Général Catroux - Avenue de Villiers (Boulevard Malesherbes),Place de Wagram (Boulevard Malesherbes),286.9162299073,present,certain,,,F,32,12.1,negative,['Slow traffic'],8,19,2.3768115942028984,19.52,9.26,0.0
2025-09-15T11:31:35,48.8847304925,2.3077860061,"[[2.3077860061, 48.8847304925]]",1,[1],[58],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38508850316023000,6,2025-09-15 13:25:11+02:00,2025-09-15 13:48:31+02:00,Boulevard Malesherbes,Avenue de Villiers / Rue Édouard Detaille,189.5646525507,present,certain,,,,,,,['Slow traffic'],8,19,2.3768115942028984,19.52,9.26,0.0
2025-09-15T11:31:45,48.8763083977,2.3079737607,"[[2.3079737607, 48.8763083977]]",1,[2],[115],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38514621152021000,6,2025-09-15 13:22:00+02:00,2025-09-15 13:48:31+02:00,Boulevard Haussmann (Rue de Courcelles),Place du Général Brocard - Avenue Hoche (Rue de Courcelles),279.7826746339,present,certain,,,F,32,12.1,negative,['Queuing traffic'],21,28,1.3333333333333333,19.52,9.26,0.0
2025-09-15T11:31:55,48.8992908822,2.3068137053,"[[2.3068137053, 48.8992908822]]",1,[2],[217],[['D911']],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38500194012010000,6,2025-09-15 13:19:00+02:00,2025-09-15 13:48:31+02:00,Clichy - D17 (D19),Paris - Porte de Clichy - Périphérique (D19),332.5707558312,present,certain,,,F,32,12.1,negative,['Queuing traffic'],8,18,2.267326732673267,19.52,9.26,0.0
2025-09-15T11:32:06,48.8978505675,2.3079885129,"[[2.3079885129, 48.8978505675]]",1,[4],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38500193972023001,8,2025-09-15 11:25:00+02:00,2025-09-15 16:30:00+02:00,Boulevard Jean Jaurès (D911),Rue Martre (D19) / Rue du 8 Mai 1945 (D19),178.5919270977,present,certain,,,,,,,"['Closed', 'Roadworks']",8,18,2.267326732673267,19.52,9.26,0.0
2025-09-15T11:32:16,48.8871619369,2.3122465197,"[[2.3122465197, 48.8871619369]]",1,[3],[181],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38508850312015000,6,2025-09-15 13:22:00+02:00,2025-09-15 13:48:31+02:00,Rue Jouffroy d'Abbans / Rue de Saussure,Rue Jouffroy d'Abbans,93.3311646988,present,certain,,,,,,,['Stationary traffic'],15,20,1.3333333333333333,19.52,9.26,0.0
2025-09-15T11:32:26,48.900953868,2.3146041814,"[[2.3146041814, 48.900953868]]",1,[4],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38494423136015001,8,2025-09-15 08:00:39+02:00,2025-09-15 18:00:00+02:00,Boulevard Victor Hugo (D912),Rue Klock,58.3914608889,present,certain,,,,,,,"['Closed', 'Roadworks']",6,13,2.168539325842697,19.52,9.26,0.0
2025-09-15T11:32:36,48.875309272,2.3157843534,"[[2.3157843534, 48.875309272]]",1,[0],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38517506568013000,9,2025-06-08 13:22:00+02:00,2025-12-12 23:55:00+01:00,Boulevard Haussmann,Rue La Boétie,108.9761490671,present,probable,,,,,,,['Roadworks'],21,21,1.0,19.52,9.26,0.0
2025-09-15T11:32:46,48.875309272,2.3157843534,"[[2.3157843534, 48.875309272]]",1,[3],[59],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38517506568013001,6,2025-09-15 13:19:42+02:00,2025-09-15 13:48:31+02:00,Boulevard Haussmann,Rue La Boétie,108.9761490671,present,certain,,,,,,,"['Stationary traffic', 'Roadworks']",21,21,1.0,19.52,9.26,0.0
2025-09-15T11:32:57,48.8743289252,2.3158460442,"[[2.3158460442, 48.8743289252]]",1,[0],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38517506424005000,9,2025-07-27 20:14:35+02:00,2025-12-12 23:55:00+01:00,Boulevard Haussmann (Rue de Miromesnil),Rue La Boétie (Rue de Miromesnil),44.6630136647,present,probable,,,F,32,12.1,positive,['Roadworks'],13,23,1.7739130434782608,19.52,9.26,0.0
2025-09-15T11:33:07,48.8897100454,2.3167016689,"[[2.3167016689, 48.8897100454]]",1,[1],[105],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38508850316011001,6,2025-09-15 13:02:00+02:00,2025-09-15 13:48:31+02:00,Avenue de Clichy (Rue Cardinet),Boulevard Pereire - Rue de Rome - Rue Jouffroy d'Abbans (Rue Cardinet),331.7743936728,present,certain,,,F,32,12.1,negative,['Slow traffic'],12,16,1.3333333333333333,19.52,9.26,0.0
2025-09-15T11:33:17,48.8778117345,2.3167070333,"[[2.3167070333, 48.8778117345]]",1,[0],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38517506532014000,9,2025-09-10 14:12:12+02:00,,Boulevard Malesherbes,Rue de Madrid / Rue du Général Foy,105.3193589579,present,probable,,,,,,,['Roadworks'],17,25,1.471698113207547,19.52,9.26,0.0
2025-09-15T11:33:27,48.8864122611,2.3184880201,"[[2.3184880201, 48.8864122611]]",1,[3],[83],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38508850344006000,6,2025-09-15 13:26:43+02:00,2025-09-15 13:48:31+02:00,Rue des Batignolles,Rue Legendre,28.9924991161,present,certain,,,,,,,['Stationary traffic'],16,16,1.0,19.38,9.26,0.0
2025-09-15T11:33:47,48.8763325432,2.3180950764,"[[2.3180950764, 48.8763325432]]",1,[2],[195],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38517506552011000,6,2025-09-15 13:05:30+02:00,2025-09-15 13:50:31+02:00,Boulevard de Courcelles (Boulevard Malesherbes),Place de la Madeleine (Boulevard Malesherbes),379.6990628663,present,certain,,,F,32,12.1,positive,['Queuing traffic'],17,24,1.4181818181818182,19.38,9.26,0.0
2025-09-15T11:33:58,48.873296241,2.3209730867,"[[2.3209730867, 48.873296241]]",1,[2],[127],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38517506488019001,6,2025-09-15 13:19:00+02:00,2025-09-15 13:48:31+02:00,Place de la Madeleine (Boulevard Malesherbes),Place Saint-Augustin - Boulevard Haussmann - Rue de la Pépinière - Rue La Boétie (Boulevard Malesherbes),191.5563151173,present,certain,,,F,32,12.1,negative,['Queuing traffic'],9,15,1.6736111111111112,19.38,9.26,0.0
2025-09-15T11:34:08,48.8780638757,2.3226293508,"[[2.3226293508, 48.8780638757]]",1,[2],[249],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38517506632019000,6,2025-09-15 13:22:39+02:00,2025-09-15 13:51:31+02:00,Place Gabriel Péri - Rue Saint-Lazare - Rue de la Pépinière (Rue de Rome),Boulevard des Batignolles (Rue de Rome),490.2031077788,present,certain,,,F,32,12.1,negative,['Queuing traffic'],12,16,1.3333333333333333,19.38,9.26,0.0
2025-09-15T11:34:18,48.8935724137,2.3226977471,"[[2.3226977471, 48.8935724137]]",1,[4],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38503079436021000,8,2025-09-09 04:43:30+02:00,,Rue Sauffroy / Rue de la Jonquière,Boulevard Bessières / Rue Jacques Kellner,218.4912337085,present,probable,,,,,,,['Closed'],17,22,1.2876712328767124,19.38,9.26,0.0
2025-09-15T11:34:28,48.895309156,2.324095178,"[[2.324095178, 48.895309156]]",1,[4],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38503079436013000,8,2025-09-09 08:55:57+02:00,2025-09-26 17:00:00+02:00,Rue de la Jonquière - Rue Sauffroy (Rue Lantiez),Rue Navier (Rue Lantiez),69.0657853917,present,certain,,,F,32,12.1,positive,"['Closed', 'Roadworks']",12,12,1.0,19.38,9.26,0.0
2025-09-15T11:34:38,48.8832324897,2.3253383819,"[[2.3253383819, 48.8832324897]]",1,[1],[157],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38517506596010000,6,2025-09-15 13:26:13+02:00,2025-09-15 13:48:31+02:00,Place de Clichy - Avenue de Clichy - Boulevard de Clichy - Rue de Clichy (Boulevard des Batignolles),Avenue de Villiers - Boulevard de Courcelles - Rue de Constantinople - Rue du Rocher (Boulevard des Batignolles),748.9998503107,present,certain,,,F,32,12.1,positive,['Slow traffic'],11,20,1.8191489361702127,19.38,9.26,0.0
2025-09-15T11:34:49,48.8827524006,2.3242976848,"[[2.3242976848, 48.8827524006]]",1,[1],[168],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38511735576010001,6,2025-09-15 13:20:39+02:00,2025-09-15 13:48:31+02:00,Rue de Rome (Boulevard des Batignolles),Place de Clichy - Avenue de Clichy - Boulevard de Clichy - Rue de Clichy (Boulevard des Batignolles),191.4297448352,present,certain,,,F,32,12.1,negative,['Slow traffic'],10,13,1.296551724137931,19.38,9.26,0.0
2025-09-15T11:34:59,48.8753495153,2.3246624652,"[[2.3246624652, 48.8753495153]]",1,[2],[142],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38517506528011000,6,2025-09-15 12:39:49+02:00,2025-09-15 13:48:31+02:00,Place Gabriel Péri (Rue Saint-Lazare),Place d'Estienne d'Orves (Rue Saint-Lazare),285.9868789473,present,certain,,,F,32,12.1,positive,['Queuing traffic'],7,10,1.421875,19.38,9.26,0.0
2025-09-15T11:35:09,48.8805020385,2.328817207,"[[2.328817207, 48.8805020385]]",1,[1],[133],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38511735688014000,6,2025-09-15 13:27:38+02:00,2025-09-15 13:51:31+02:00,Place d'Estienne d'Orves (Rue de Clichy),Place de Clichy - Boulevard des Batignolles - Boulevard de Clichy (Rue de Clichy),332.4601262211,present,certain,,,F,32,12.1,positive,['Slow traffic'],24,24,1.0,19.38,9.26,0.0
2025-09-15T11:35:49,48.8794076885,2.2771162871,"[[2.2771162871, 48.8794076885]]",1,[3],[225],[['D913']],TTI-2c81aadc-781e-4cb3-9bfd-602a4666c4b6-TTL38508850128002000,6,2025-09-15 13:28:34+02:00,2025-09-15 13:54:45+02:00,Pont de Neuilly Rive Droite - D1 (N13),Paris - Porte Maillot - Périphérique Intérieur (N13),326.756,present,certain,,,F,32,12.1,negative,['Stationary traffic'],27,33,1.2285714285714286,19.38,9.26,0.0
2025-09-15T11:35:59,48.8780893433,2.2810859564,"[[2.2810859564, 48.8780893433]]",1,[1],[136],[['D913']],TTI-2c81aadc-781e-4cb3-9bfd-602a4666c4b6-TTL38508850128018001,6,2025-09-15 13:25:30+02:00,2025-09-15 13:53:45+02:00,Boulevard Périphérique / Avenue de Neuilly,Boulevard Pereire Sud,223.0087838916,present,certain,,,,,,,['Slow traffic'],4,13,3.2565789473684212,19.38,9.26,0.0
2025-09-15T11:36:10,48.8763446159,2.2872308973,"[[2.2872308973, 48.8763446159]]",1,[2],[154],[[]],TTI-2c81aadc-781e-4cb3-9bfd-602a4666c4b6-TTL38508850204010001,6,2025-09-15 13:24:08+02:00,2025-09-15 13:53:45+02:00,Place Charles de Gaulle (Avenue de la Grande Armée),Place de la Porte Maillot (Avenue de la Grande Armée),259.1531278886,present,certain,,,F,32,12.1,positive,['Queuing traffic'],13,16,1.2311827956989247,19.38,9.26,0.0
